Year,Month,Day,Mean Pressure (hPa),Absolute Daily Max (deg. C),Mean (deg. C),Absolute Daily Min (deg. C),Mean Dew Point (deg. C),Mean Relative Humidity (%),Mean Amount of Cloud (%),Total Rainfall (mm),Total Bright Sunshine (hours),Prevailing Wind Direction (degrees),Mean Wind Speed (km/h)
1884,3,12,***,18.1,***,14.4,***,***,***,2.2,***,***,***
1884,3,13,***,15,***,13.2,***,***,***,0,***,***,***
1884,3,14,***,18.3,***,14.7,***,***,***,0,***,***,***
1884,3,15,***,19.4,***,16,***,***,***,0,***,***,***
1884,3,16,***,20.5,***,17.4,***,***,***,0,***,***,***
1884,3,17,***,23.3,***,16.2,***,***,***,0,***,***,***
1884,3,18,***,16.4,***,14.4,***,***,***,16,***,***,***
1884,3,19,***,15.3,***,13.8,***,***,***,14.4,***,***,***
1884,3,20,***,18.6,***,14.3,***,***,***,0,***,***,***
1884,3,21,***,18.4,***,15.5,***,***,***,7.6,***,***,***
1884,3,22,***,18.8,***,15.6,***,***,***,25.9,***,***,***
1884,3,23,***,20.1,***,17.8,***,***,***,10.3,***,***,***
1884,3,24,***,19.2,***,16.4,***,***,***,0,***,***,***
1884,3,25,***,18.9,***,15.5,***,***,***,0,***,***,***
1884,3,26,***,21.4,***,16.8,***,***,***,0,***,***,***
1884,3,27,***,24.5,***,18.4,***,***,***,0,***,***,***
1884,3,28,***,19.7,***,15.5,***,***,***,0,***,***,***
1884,3,29,***,16.7,***,14.2,***,***,***,0.9,***,***,***
1884,3,30,***,19.3,***,14.7,***,***,***,0,***,***,***
1884,3,31,***,19.6,***,17.3,***,***,***,19.5,***,***,***
1884,4,1,1014.9,19.8,17.8,14.6,***,***,***,0,***,***,***
1884,4,2,1018,16.2,14.6,12.6,***,***,***,12,***,***,***
1884,4,3,1014.8,15.6,14.8,13.6,***,***,***,3.3,***,***,***
1884,4,4,1011.2,17.9,16.4,15.1,***,***,***,15.3,***,***,***
1884,4,5,1011.6,20,18.3,16.9,***,***,***,0.5,***,***,***
1884,4,6,1011.8,25.4,22.3,18.7,***,***,***,0.3,***,***,***
1884,4,7,1012.6,26.9,22.2,18.4,***,***,***,3.9,***,***,***
1884,4,8,1017.2,18.4,16.3,14.7,***,***,***,0.8,***,***,***
1884,4,9,1016.6,17.8,16.1,14.9,***,***,***,0,***,***,***
1884,4,10,1014.6,18.6,17.5,16.1,***,***,***,0,***,***,***
1884,4,11,1013.9,22.9,20,18.3,***,***,***,0,***,***,***
1884,4,12,1013.1,20.3,19.6,18.4,***,***,***,35.3,***,***,***
1884,4,13,1013.4,23.7,20,18,***,***,***,0,***,***,***
1884,4,14,1013.9,19.9,18.5,17.6,***,***,***,7.3,***,***,***
1884,4,15,1014.5,23.8,20.3,17.6,***,***,***,0,***,***,***
1884,4,16,1014.9,23.3,20.5,19.1,***,***,***,0,***,***,***
1884,4,17,1014.9,24,20.6,18.6,***,***,***,0,***,***,***
1884,4,18,1015,21.9,19.8,18.8,***,***,***,2.2,***,***,***
1884,4,19,1013.5,21.9,19.9,18.8,***,***,***,1,***,***,***
1884,4,20,1010,22.3,19.9,19.3,***,***,***,0,***,***,***
1884,4,21,1007.1,26.9,21.8,19.3,***,***,***,18.5,***,***,***
1884,4,22,1011.3,27.8,23.1,19.3,***,***,***,0.4,***,***,***
1884,4,23,1013.6,24.9,21.9,19.9,***,***,***,0,***,***,***
1884,4,24,1013.2,25.4,21.9,20.2,***,***,***,0,***,***,***
1884,4,25,1012,27.1,23.8,21.3,***,***,***,0,***,***,***
1884,4,26,1012.4,28.8,24.4,21.3,***,***,***,5.8,***,***,***
1884,4,27,1015.1,22,19.8,17.5,***,***,***,27.7,***,***,***
1884,4,28,1014.7,22.1,20.1,18.7,***,***,***,0,***,***,***
1884,4,29,1012.3,25.9,21.8,19.3,***,***,***,0,***,***,***
1884,4,30,1011.4,25,22.2,21.1,***,***,***,0,***,***,***
1884,5,1,1011.9,22.9,21.2,20.1,***,***,***,67.2,***,***,***
1884,5,2,1011.6,28.3,23.7,20.6,***,***,***,0,***,***,***
1884,5,3,1010.8,29.1,24.2,21.2,***,***,***,3.4,***,***,***
1884,5,4,1011.4,26.9,23.6,21.6,***,***,***,0,***,***,***
1884,5,5,1012.8,26.9,23.7,21.6,***,***,***,0.9,***,***,***
1884,5,6,1011.9,22.8,22,21.6,***,***,***,4.3,***,***,***
1884,5,7,1008.4,26.2,23.2,21.6,***,***,***,1.6,***,***,***
1884,5,8,1006.1,29,24.9,22.4,***,***,***,0.3,***,***,***
1884,5,9,1007.3,28.5,25.1,22.7,***,***,***,13.5,***,***,***
1884,5,10,1008.5,28.9,24.7,21.5,***,***,***,33.3,***,***,***
1884,5,11,1009.4,26.6,23.1,21.7,***,***,***,29.8,***,***,***
1884,5,12,1010.8,24.9,21.7,18.8,***,***,***,3.3,***,***,***
1884,5,13,1011.5,21.9,19.4,17.8,***,***,***,0.5,***,***,***
1884,5,14,1012.2,23.1,20.2,17.8,***,***,***,0,***,***,***
1884,5,15,1012.5,26.1,22.5,20.7,***,***,***,0,***,***,***
1884,5,16,1011.6,27.4,23.4,21.2,***,***,***,0.4,***,***,***
1884,5,17,1010.3,30.8,26.1,23.1,***,***,***,0,***,***,***
1884,5,18,1010.2,29.9,25.8,22.1,***,***,***,16.8,***,***,***
1884,5,19,1011.9,24.3,22.2,21.1,***,***,***,4.4,***,***,***
1884,5,20,1010.4,25.4,22.8,21.1,***,***,***,0,***,***,***
1884,5,21,1007.6,29.1,26,22.7,***,***,***,0.3,***,***,***
1884,5,22,1005.5,30.6,27.8,25.9,***,***,***,0,***,***,***
1884,5,23,1006.8,27.8,25.5,22.1,***,***,***,3.6,***,***,***
1884,5,24,1010.2,24.8,22.8,21.6,***,***,***,0.4,***,***,***
1884,5,25,1011.2,26.8,23.1,21.7,***,***,***,1,***,***,***
1884,5,26,1011,28.6,24.5,22.4,***,***,***,0.2,***,***,***
1884,5,27,1008.8,28.5,25.1,23.7,***,***,***,0.7,***,***,***
1884,5,28,1005.1,26.7,24.8,22.9,***,***,***,39.6,***,***,***
1884,5,29,1003.5,26.2,23.9,22.2,***,***,***,3.7,***,***,***
1884,5,30,1005.1,28.4,24.8,22.2,***,***,***,0.3,***,***,***
1884,5,31,1006.7,30.1,25.6,23.3,***,***,***,0,***,***,***
1884,6,1,1007.6,29.1,25.1,22.6,***,***,***,0,***,***,***
1884,6,2,1008.4,30.6,25.9,22.8,***,***,***,0,***,***,***
1884,6,3,1009.4,28.3,25.1,23.3,***,***,***,0,***,***,***
1884,6,4,1009.1,29.6,25.4,23.4,***,***,***,0,***,***,***
1884,6,5,1008.3,26.7,24.5,23.6,***,***,***,14.6,***,***,***
1884,6,6,1006.7,29.5,25.5,23.8,***,***,***,4.4,***,***,***
1884,6,7,1006.9,27.8,25.5,23.8,***,***,***,0.1,***,***,***
1884,6,8,1006.9,29.9,25.7,23.8,***,***,***,0,***,***,***
1884,6,9,1005.6,29.7,25.9,23.7,***,***,***,0,***,***,***
1884,6,10,1004.8,29.8,26.6,24.6,***,***,***,0.6,***,***,***
1884,6,11,1005.9,29.6,26.2,24.9,***,***,***,8.1,***,***,***
1884,6,12,1007.2,27.4,25.3,24.4,***,***,***,22.4,***,***,***
1884,6,13,1007.1,28.1,26.5,24.8,***,***,***,20.7,***,***,***
1884,6,14,1007.9,30.7,27.8,26.6,***,***,***,0,***,***,***
1884,6,15,1008.2,32.4,28.5,26.7,***,***,***,0,***,***,***
1884,6,16,1007.2,31.8,28.1,25.6,***,***,***,2.8,***,***,***
1884,6,17,1006.4,30.4,27.4,25.6,***,***,***,24.4,***,***,***
1884,6,18,1005.7,29.7,27.9,25.9,***,***,***,8.5,***,***,***
1884,6,19,1006.8,28.8,27.1,24,***,***,***,14.5,***,***,***
1884,6,20,1009.3,27.8,25,22.7,***,***,***,34.2,***,***,***
1884,6,21,1008.9,28.4,25.9,23.3,***,***,***,13.1,***,***,***
1884,6,22,1007.3,32.8,28,25.7,***,***,***,0.1,***,***,***
1884,6,23,1005.7,31.8,27.9,25.6,***,***,***,0.8,***,***,***
1884,6,24,1005,28.5,26.3,24.6,***,***,***,27.3,***,***,***
1884,6,25,1006.8,31.7,27.7,25.7,***,***,***,4.1,***,***,***
1884,6,26,1005,31.9,28.2,25.6,***,***,***,0,***,***,***
1884,6,27,1002,32.6,28.4,25.5,***,***,***,0,***,***,***
1884,6,28,1000.8,31.9,28,25.4,***,***,***,6.9,***,***,***
1884,6,29,1000.9,31.5,28,25.6,***,***,***,7.2,***,***,***
1884,6,30,1003,31.2,27.6,23.3,***,***,***,65.7,***,***,***
1884,7,1,1004.4,30.5,27.9,25,***,***,***,28.5,***,***,***
1884,7,2,1006.8,29.9,26.3,23.4,***,***,***,24.2,***,***,***
1884,7,3,1008.2,31.5,27.7,24.9,***,***,***,13.7,***,***,***
1884,7,4,1009.9,31.2,27.6,25.1,***,***,***,13.1,***,***,***
1884,7,5,1007.8,32.8,28.4,26.2,***,***,***,0.8,***,***,***
1884,7,6,1003.8,28.8,27.2,25.9,***,***,***,3.7,***,***,***
1884,7,7,1002.5,28.7,26.3,24.6,***,***,***,22.5,***,***,***
1884,7,8,1006.7,29.4,27.5,26.2,***,***,***,9.1,***,***,***
1884,7,9,1008.6,32.3,28.1,26.1,***,***,***,0.4,***,***,***
1884,7,10,1005.3,31.2,27.4,25.5,***,***,***,2.8,***,***,***
1884,7,11,999.5,31.4,28.3,25.6,***,***,***,0,***,***,***
1884,7,12,998.7,30.9,28.8,27.5,***,***,***,0,***,***,***
1884,7,13,1002.7,32.7,28.7,27.3,***,***,***,0,***,***,***
1884,7,14,1004.6,33.7,29.2,26.7,***,***,***,0.2,***,***,***
1884,7,15,1004.4,32.4,28.8,25.9,***,***,***,0,***,***,***
1884,7,16,1003.3,32.6,28.9,26.4,***,***,***,0,***,***,***
1884,7,17,1002.4,29.8,28,26.9,***,***,***,6.9,***,***,***
1884,7,18,1002,32,28.3,26.6,***,***,***,2.5,***,***,***
1884,7,19,1001.6,33.4,29.3,26.4,***,***,***,0,***,***,***
1884,7,20,1000.1,33.9,30,27.9,***,***,***,0,***,***,***
1884,7,21,998,31.7,27.6,23.7,***,***,***,94.1,***,***,***
1884,7,22,999,33.1,29.2,26.8,***,***,***,0,***,***,***
1884,7,23,1002.4,31.3,29.1,27.8,***,***,***,5.1,***,***,***
1884,7,24,1004.6,27.8,26,24,***,***,***,57.2,***,***,***
1884,7,25,1005.1,28.2,26.4,25.1,***,***,***,11.1,***,***,***
1884,7,26,1005.4,30.5,27.1,25.4,***,***,***,2.7,***,***,***
1884,7,27,1004.6,31.8,28,25.4,***,***,***,0,***,***,***
1884,7,28,1000.7,32.8,28.2,25.7,***,***,***,0,***,***,***
1884,7,29,999.6,28.6,26.8,25.1,***,***,***,8.7,***,***,***
1884,7,30,1002.9,28.8,26.9,25.9,***,***,***,13.5,***,***,***
1884,7,31,1006,29.8,27.1,24.8,***,***,***,11.5,***,***,***
1884,8,1,1007,31.4,27.5,25.6,***,***,***,0.4,***,***,***
1884,8,2,1004.8,30.9,27.6,25.1,***,***,***,0,***,***,***
1884,8,3,1001.9,30.8,27.5,25.6,***,***,***,0,***,***,***
1884,8,4,1001.2,33.1,28.1,24.9,***,***,***,0,***,***,***
1884,8,5,1001.3,31.8,27.8,24.9,***,***,***,0,***,***,***
1884,8,6,1001.2,32.4,28.6,25.6,***,***,***,0,***,***,***
1884,8,7,1002,30.7,28.1,26.7,***,***,***,0,***,***,***
1884,8,8,1002.7,29.4,27.1,24.4,***,***,***,5.1,***,***,***
1884,8,9,1002.6,32.9,28.1,25.4,***,***,***,0,***,***,***
1884,8,10,1004.3,33,28.7,26,***,***,***,0,***,***,***
1884,8,11,1004.8,31.8,28.1,25.6,***,***,***,5.4,***,***,***
1884,8,12,1004,30.6,28.2,26.8,***,***,***,5.1,***,***,***
1884,8,13,1003.4,32.9,27.7,23.8,***,***,***,45.7,***,***,***
1884,8,14,1003.8,29.8,26.6,24.8,***,***,***,26.8,***,***,***
1884,8,15,1005.2,27.4,25.6,24,***,***,***,58.4,***,***,***
1884,8,16,1007.1,26.8,25.5,24.4,***,***,***,25.8,***,***,***
1884,8,17,1006.5,29.6,26.8,24.7,***,***,***,0.6,***,***,***
1884,8,18,1007.5,31.8,27.9,25.4,***,***,***,5.1,***,***,***
1884,8,19,1009.1,31.6,28.1,26.1,***,***,***,0,***,***,***
1884,8,20,1007.3,31.6,28.3,25.7,***,***,***,0,***,***,***
1884,8,21,1001.4,33.4,29.4,25.9,***,***,***,7,***,***,***
1884,8,22,1000.4,32.6,28.7,26.6,***,***,***,0,***,***,***
1884,8,23,1005,32.1,28.5,26.7,***,***,***,0,***,***,***
1884,8,24,1005.7,30.2,27.1,23.8,***,***,***,15.3,***,***,***
1884,8,25,1005.7,32.3,28.6,26.7,***,***,***,0,***,***,***
1884,8,26,1007.1,32,28.6,26.6,***,***,***,4.1,***,***,***
1884,8,27,1008.6,29.8,26.6,22.9,***,***,***,27.2,***,***,***
1884,8,28,1009.7,27.8,26.1,25.1,***,***,***,27.9,***,***,***
1884,8,29,1010.4,30.7,27.1,25.1,***,***,***,3.7,***,***,***
1884,8,30,1008.9,30.7,27.2,24.5,***,***,***,11.4,***,***,***
1884,8,31,1007.9,30.8,27.8,25.9,***,***,***,0,***,***,***
1884,9,1,1008,30.9,27.8,25.8,***,***,***,0.6,***,***,***
1884,9,2,1008.6,31.1,27.9,26.7,***,***,***,0.1,***,***,***
1884,9,3,1009.6,31.2,27.8,25.2,***,***,***,0.3,***,***,***
1884,9,4,1009.9,31.2,27.6,25.8,***,***,***,0,***,***,***
1884,9,5,1009.4,31.8,28,25.6,***,***,***,0.1,***,***,***
1884,9,6,1008.4,33.1,28.2,25.3,***,***,***,0,***,***,***
1884,9,7,1007.4,31.9,28.5,26.1,***,***,***,0,***,***,***
1884,9,8,1004.6,32.8,28.7,24.3,***,***,***,13.7,***,***,***
1884,9,9,1000,31.1,29.4,27.7,***,***,***,1.6,***,***,***
1884,9,10,992.5,27.9,26,23.8,***,***,***,141.9,***,***,***
1884,9,11,994,26.3,25.4,24.5,***,***,***,108.1,***,***,***
1884,9,12,1003.4,27.7,26.1,24.6,***,***,***,25.8,***,***,***
1884,9,13,1003.6,31.2,27.2,25.6,***,***,***,1.8,***,***,***
1884,9,14,1002.7,31.3,27.3,24.9,***,***,***,0.3,***,***,***
1884,9,15,1004.3,30.8,27.4,25.6,***,***,***,0,***,***,***
1884,9,16,1007.9,30.9,27.8,25.9,***,***,***,0,***,***,***
1884,9,17,1010.2,31.2,28,25.7,***,***,***,1.3,***,***,***
1884,9,18,1009.9,29.9,27.6,26.3,***,***,***,3.7,***,***,***
1884,9,19,1009.9,31.6,28,26.1,***,***,***,0,***,***,***
1884,9,20,1007.9,31.2,28.3,25.6,***,***,***,0,***,***,***
1884,9,21,1005.1,29.7,27.5,25.6,***,***,***,0,***,***,***
1884,9,22,1006.8,29.3,26.9,24.6,***,***,***,0,***,***,***
1884,9,23,1009.6,29.3,25.8,23.7,***,***,***,0,***,***,***
1884,9,24,1010.3,29.6,25.8,23.7,***,***,***,0,***,***,***
1884,9,25,1010,30,26.4,23.9,***,***,***,0,***,***,***
1884,9,26,1010.7,30.1,26.8,24.2,***,***,***,0.3,***,***,***
1884,9,27,1012.3,27.8,26.2,23.8,***,***,***,12.8,***,***,***
1884,9,28,1013.3,29.4,26.9,25.2,***,***,***,2.1,***,***,***
1884,9,29,1012.8,29.8,27,25.6,***,***,***,0,***,***,***
1884,9,30,1011.7,29.4,27,25.6,***,***,***,0,***,***,***
1884,10,1,1010.4,27.1,25.5,23.6,***,***,***,34.2,***,***,***
1884,10,2,1010.4,28.1,26,24,***,***,***,24.3,***,***,***
1884,10,3,1013.3,29.8,27.1,25.5,***,***,***,3.6,***,***,***
1884,10,4,1013.8,29.3,27,25.4,***,***,***,0.7,***,***,***
1884,10,5,1011.9,30.1,27,25,***,***,***,0,***,***,***
1884,10,6,1011,30.2,26.6,24.4,***,***,***,0,***,***,***
1884,10,7,1011.8,29.9,27,24.9,***,***,***,0,***,***,***
1884,10,8,1012.8,29.6,26.9,24.8,***,***,***,3.8,***,***,***
1884,10,9,1013.6,29.6,27.4,26.1,***,***,***,0,***,***,***
1884,10,10,1013.8,29.7,27.6,26.3,***,***,***,0,***,***,***
1884,10,11,1014.5,29.3,27.3,25.9,***,***,***,1,***,***,***
1884,10,12,1014.5,29.5,27.3,25.9,***,***,***,0,***,***,***
1884,10,13,1014.6,29.3,27,25.7,***,***,***,0,***,***,***
1884,10,14,1014.8,29.4,25.6,22.1,***,***,***,5.1,***,***,***
1884,10,15,1017.5,25.6,22.7,20.6,***,***,***,0,***,***,***
1884,10,16,1017.9,26.2,22.8,19.8,***,***,***,1.1,***,***,***
1884,10,17,1017.5,26.6,23.8,20.9,***,***,***,2.8,***,***,***
1884,10,18,1018.6,27.6,25.1,23.1,***,***,***,0,***,***,***
1884,10,19,1018.5,27.3,25.2,24.1,***,***,***,0,***,***,***
1884,10,20,1016.2,26.4,23.6,20.9,***,***,***,0,***,***,***
1884,10,21,1016.5,25.4,22.5,19.9,***,***,***,0,***,***,***
1884,10,22,1019.4,26.4,22.7,20.4,***,***,***,0,***,***,***
1884,10,23,1019.7,25.9,22.5,20.1,***,***,***,0,***,***,***
1884,10,24,1019.4,25.5,23.1,20.4,***,***,***,0,***,***,***
1884,10,25,1018.4,24.6,23,22.1,***,***,***,0,***,***,***
1884,10,26,1016.6,24.9,22.8,21.4,***,***,***,0,***,***,***
1884,10,27,1014.5,26,23.6,21.6,***,***,***,0,***,***,***
1884,10,28,1014.3,26.4,24.1,22.1,***,***,***,2,***,***,***
1884,10,29,1014.7,28.4,25.7,24.1,***,***,***,0,***,***,***
1884,10,30,1015,29.4,25.6,23.8,***,***,***,0,***,***,***
1884,10,31,1014,27,25,23.2,***,***,***,0,***,***,***
1884,11,1,1012.9,28.4,25.2,22.8,***,***,***,0,***,***,***
1884,11,2,1014.1,25.2,24.2,22.7,***,***,***,4.1,***,***,***
1884,11,3,1013.8,23.7,23.2,22.7,***,***,***,23.4,***,***,***
1884,11,4,1012.5,27,24.5,22.6,***,***,***,2.1,***,***,***
1884,11,5,1013.5,26.7,24.6,23.2,***,***,***,0,***,***,***
1884,11,6,1014.7,26.7,24.2,22.6,***,***,***,3.7,***,***,***
1884,11,7,1014.7,25.2,23.8,22.8,***,***,***,0,***,***,***
1884,11,8,1015.9,25.1,23.4,21.9,***,***,***,0,***,***,***
1884,11,9,1016.8,26.4,23.4,20.6,***,***,***,0,***,***,***
1884,11,10,1020.4,20.5,18.5,17.4,***,***,***,0,***,***,***
1884,11,11,1019.4,22.2,20.2,17.7,***,***,***,0,***,***,***
1884,11,12,1018.4,25.8,22.8,20.1,***,***,***,1.8,***,***,***
1884,11,13,1018.5,26.9,24,22.4,***,***,***,0,***,***,***
1884,11,14,1019.4,23.1,20.8,18.6,***,***,***,0,***,***,***
1884,11,15,1017.6,22.5,20.2,17.5,***,***,***,0,***,***,***
1884,11,16,1016,24,22.3,21.5,***,***,***,0,***,***,***
1884,11,17,1014.5,24.7,22.7,21.7,***,***,***,0.1,***,***,***
1884,11,18,1013.8,23.3,19.8,16.2,***,***,***,2.3,***,***,***
1884,11,19,1015.4,19.8,16.7,13.8,***,***,***,0.5,***,***,***
1884,11,20,1016,22.1,18.3,14.7,***,***,***,0,***,***,***
1884,11,21,1019.9,19.2,16.1,13.2,***,***,***,0,***,***,***
1884,11,22,1022.4,16,13.4,11.1,***,***,***,0,***,***,***
1884,11,23,1021.9,17.1,13.9,10.7,***,***,***,0,***,***,***
1884,11,24,1020.6,18.8,15,11.8,***,***,***,0,***,***,***
1884,11,25,1021.6,18.4,15,12.7,***,***,***,0,***,***,***
1884,11,26,1022.8,19.3,15.8,12.7,***,***,***,0,***,***,***
1884,11,27,1022.5,18.5,15.3,12.9,***,***,***,0,***,***,***
1884,11,28,1022.3,18.2,15.5,13.3,***,***,***,0,***,***,***
1884,11,29,1020.8,19.2,16.2,14,***,***,***,0,***,***,***
1884,11,30,1020.4,19.9,17.3,15.4,***,***,***,0,***,***,***
1884,12,1,1022,20.8,17.8,15.4,***,***,***,0,***,***,***
1884,12,2,1023.2,21.3,18.8,17.6,***,***,***,0,***,***,***
1884,12,3,1022.7,21.7,19,17.6,***,***,***,0,***,***,***
1884,12,4,1024,20.4,17.9,16.2,***,***,***,0,***,***,***
1884,12,5,1024.7,18.5,15.9,13.5,***,***,***,0,***,***,***
1884,12,6,1024.1,16.1,13.7,11.7,***,***,***,Trace,***,***,***
1884,12,7,1022.9,18.8,14.4,10.6,***,***,***,Trace,***,***,***
1884,12,8,1021.9,17.9,14.7,11.5,***,***,***,0,***,***,***
1884,12,9,1020.2,18.8,14.8,10.9,***,***,***,0,***,***,***
1884,12,10,1021,19.3,15.3,12.4,***,***,***,0,***,***,***
1884,12,11,1024.5,19.7,16.1,13.6,***,***,***,0,***,***,***
1884,12,12,1025.3,17.6,14.5,12.6,***,***,***,0,***,***,***
1884,12,13,1023.5,18.2,14.3,11.8,***,***,***,0,***,***,***
1884,12,14,1022.9,20.2,15.2,11.7,***,***,***,0,***,***,***
1884,12,15,1023.1,19.1,15.2,12.6,***,***,***,0,***,***,***
1884,12,16,1022.7,19.1,15.7,12.4,***,***,***,0,***,***,***
1884,12,17,1021.9,20.7,17.2,15.1,***,***,***,0,***,***,***
1884,12,18,1024.2,18.7,15.6,13.1,***,***,***,0,***,***,***
1884,12,19,1025.3,16.9,13.6,10.5,***,***,***,0,***,***,***
1884,12,20,1023.2,17.3,14.8,12.9,***,***,***,0,***,***,***
1884,12,21,1021.1,17.6,14.6,12.3,***,***,***,0,***,***,***
1884,12,22,1021.6,17.1,14.5,12.9,***,***,***,0,***,***,***
1884,12,23,1019.8,18.2,14.4,11.9,***,***,***,0,***,***,***
1884,12,24,1018,18.9,14.9,12.2,***,***,***,0,***,***,***
1884,12,25,1018.4,20.1,15.7,13.1,***,***,***,0,***,***,***
1884,12,26,1020.1,18.8,15.3,13.8,***,***,***,0,***,***,***
1884,12,27,1019.6,16,14.2,12.7,***,***,***,0,***,***,***
1884,12,28,1018.4,17.9,15.4,13.2,***,***,***,0,***,***,***
1884,12,29,1019.4,20.5,16,11.7,***,***,***,0,***,***,***
1884,12,30,1022.1,16,12.4,9.4,***,***,***,0,***,***,***
1884,12,31,1021.4,15.8,13.9,12.4,***,***,***,0,***,***,***
1885,1,1,1020.4,17.8,15.3,13.9,***,***,***,0,***,***,***
1885,1,2,1021.7,20.5,16.7,14.2,***,***,***,0,***,***,***
1885,1,3,1023.8,16.6,15.4,14.8,***,***,***,0,***,***,***
